address,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0049,"""Raybourne Cottage, Rectory Road, Billericay, Essex. CM12 9UA""",0.410785,51.591848,https://www.basildon.gov.uk/media/8583/BLR/pdf/BLR.pdf,0.6,not owned by a public authority,,pending decision,full planning permission,,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,1,1,1,yes,"Planning Permission has expired, new application submitted. Deliverable within 1 year. 06/09/17. 31/08/18. 22/08/19.",06/09/2017,22/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0051,"""76 High Street, Billericay, Essex. CM12 9BT""",0.417832,51.62504,https://www.basildon.gov.uk/media/8585/BLR/pdf/BLR.pdf,0.08,not owned by a public authority,,permissioned,full planning permission,13/03/2019,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,7,7,7,yes,Planning Permission  granted. Permission expires 13/03/2022. Only to be removed once expired or completed. Deliverable within 1 year. 20/09/17. 31/08/18. 07/08/19.,20/09/2017,07/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0053,"""Independant House, Radford Business Centre, Radford Way, Billericay, Essex. CM12 0BZ""",0.410477,51.631559,https://www.basildon.gov.uk/media/8587/BLR/pdf/BLR.pdf,0.03,not owned by a public authority,,permissioned,other,15/07/2016,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,9,9,9,yes,Prior approval granted. Works commenced. Only to be removed once completed. Deliverable within 1 year. 20/09/17. 31/08/18. 07/08/19.,20/09/2017,07/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0054,"""Craylands Estates And Former Fryerns School Site, Craylands, Basildon, Essex.""",0.490931,51.577062,https://www.basildon.gov.uk/media/8588/BLR/pdf/BLR.pdf,35.51,not owned by a public authority,,permissioned,outline planning permission,22/03/2017,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,587,587,587,,Outline and Reserved Matters Permission granted. Works commenced. Only to be removed once completed. Deliverable within 8 years. 8.1ha of total is greenfield land. Loss of net dwellings through demolitions has not been included. 21/09/17. 31/08/18. 07/08/19.,21/09/2017,07/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0055,"""7 - 8 Willowdale Centre, High Street, Wickford, Essex. SS12 0RA""",0.520029,51.613573,https://www.basildon.gov.uk/media/8590/BLR/pdf/BLR.pdf,0.06,not owned by a public authority,,permissioned,full planning permission,16/01/2017,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,6,6,6,yes,Planning Permission granted. Works commenced. Only to be removed once completed. Deliverable within 1 year. 21/09/17. 31/08/18. 07/08/19.,21/09/2017,07/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0056,"""Garage Block, Market Avenue, Wickford, Essex.""",0.519069,51.614242,https://www.basildon.gov.uk/media/8591/BLR/pdf/BLR.pdf,0.08,not owned by a public authority,,permissioned,full planning permission,09/03/2017,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,5,5,5,yes,Planning Permission granted. Works commenced. Only to be removed once completed. Deliverable within 1 year. 21/09/17. 31/08/18. 07/08/19.,21/09/2017,07/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0057,"""Ryjo, Thames View, Langdon Hills, Basildon, Essex. SS16 5LN""",0.425137,51.549311,https://www.basildon.gov.uk/media/8592/BLR/pdf/BLR.pdf,0.67,not owned by a public authority,,permissioned,full planning permission,30/01/2017,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,-1,-1,-1,yes,Planning Permission granted. Works have not commenced. Permission expires 30/01/2020. Only to be removed once expired or completed. Deliverable within 1 year. 21/09/17. 31/08/18. 07/08/19.,21/09/2017,07/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0058,"""Superstore and Car Park, Mandeville Way, Laindon, Essex.""",0.400022,51.567854,https://www.basildon.gov.uk/media/8680/BLR/pdf/BLR.pdf,2.59,not owned by a public authority,,not permissioned,,,,46,46,56,,Deliverable within 8 years. 14/09/18. 06/08/19.,14/09/2018,06/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0059,"""6, 8, 10, 12, 14 & 16 Pound Lane, Basildon, Essex. SS15 5SZ""",0.432931,51.578306,https://www.basildon.gov.uk/media/8681/BLR/pdf/BLR.pdf,0.25,owned by a public authority,,not permissioned,,,,2,2,2,,Deliverable within 6 years. Six existing dwellings with potential for 8 so net increase of 2. 14/09/18. 22/08/19.,14/09/2018,22/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0060,"""Regent House, The Gore, Basildon, Essex. SS14 2DZ""",0.455786,51.572665,https://www.basildon.gov.uk/media/8682/BLR/pdf/BLR.pdf,0.4,not owned by a public authority,,permissioned,full planning permission,06/02/2018,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,106,106,106,yes,Planning Permission granted. Works have commenced. Only to be removed once completed. Deliverable within 5 years. 14/09/18. 07/08.19.,14/09/2018,07/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0061,"""Acorn House, Great Oaks, Basildon. SS14 1AH""",0.458227,51.571771,https://www.basildon.gov.uk/media/8683/BLR/pdf/BLR.pdf,0.14,not owned by a public authority,,permissioned,full planning permission,06/03/2018,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,62,62,62,yes,Planning Permission granted. Works have not commenced. Permission expires 06/03/2021. Only to be removed once expired or completed. Deliverable within 3 years. See also BAS0072 & BAS0073 as duplicate permisions for same site. 14/09/18. 07/08/19.,14/09/2018,07/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0062,"""1 - 4 Dunton Court, Aston Road, Laindon, Essex. SS15 6NX""",0.421248,51.571547,https://www.basildon.gov.uk/media/8684/BLR/pdf/BLR.pdf,0.09,not owned by a public authority,,permissioned,other,20/10/2017,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,18,18,18,yes,Prior Approval granted. Works have not commenced. Permission expires 20/10/2022. Only to be removed once expired or completed. Deliverable within 2 years. 14/09/18. 07/08/19.,14/09/2018,07/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0063,"""31-33 The Broadway, Wickford, Essex. SS11 7AD""",0.522599,51.614751,https://www.basildon.gov.uk/media/8685/BLR/pdf/BLR.pdf,0.07,not owned by a public authority,,permissioned,full planning permission,04/09/2017,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,6,6,6,yes,Planning Permission granted. Works have commenced. Only to be removed once completed. Deliverable within 1 year. 14/09/18. 07/08/19.,14/09/2018,07/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0064,"""Claremont, London Road, Pitsea, Essex. SS13 2DB""",0.515684,51.566099,https://www.basildon.gov.uk/media/8686/BLR/pdf/BLR.pdf,0.16,not owned by a public authority,,permissioned,full planning permission,13/07/2017,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,3,3,3,yes,Planning Permission granted. Works have commenced. Only to be removed once completed. Deliverable within 1 year. 20/09/18. 07/08/19.,20/09/2018,07/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0065,"""139 Noak Hill Road, Great Burstead, Billericay, Essex. CM12 9UJ""",0.422869,51.600529,https://www.basildon.gov.uk/media/8687/BLR/pdf/BLR.pdf,0.27,not owned by a public authority,,permissioned,outline planning permission,03/10/2017,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,7,7,7,yes,Planning Permission granted. Works have not commenced. Permission expires 03/10/2020. Only to be removed once expired or completed. Deliverable within 1 year. 20/09/18. 07/08/19.,20/09/2018,07/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0066,"""Pilgrim House, High Street, Billericay, Essex. CM12 9XY""",0.415444,51.623251,https://www.basildon.gov.uk/media/8688/BLR/pdf/BLR.pdf,0.17,not owned by a public authority,,permissioned,other,07/07/2017,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,17,17,17,yes,Prior Approval granted. Works have not commenced. Permission expires 01/09/2022. Only to be removed once expired or completed. Deliverable within 1 year. 20/09/18. 07/08/19.,20/09/2018,07/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0067,"""Independant House, Radford Business Centre, Radford Way, Billericay, Essex. CM12 0BZ""",0.410477,51.631559,https://www.basildon.gov.uk/media/8689/BLR/pdf/BLR.pdf,0.04,not owned by a public authority,,permissioned,full planning permission,20/12/2017,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,7,7,7,yes,Planning Permission granted. Works have not commenced. Permission expires 20/12/2020. Only to be removed once expired or completed. Deliverable within 1 year. 20/09/18. 07/08/19.,20/09/2018,07/08/2019,
