resource,row-count
3a08581a2d2b314ecff1c8703db791d27f4df8ec27bc53873b76a93767e4b908,-1
3a639f02254a8ae8fb54dca24fbbf5912ed7a1d1ae04bfe66712cd4c73ea99cb,41
3a654fc09c0a9079e1e4e97fee7b4a8ac9ee56674d93fb2ada7290513c4e518f,-1
3af01fb10e4a7958f9cc989c5066e05c40cfe48a405238c8089a6cb791662633,-1
3b08e37cd8d9263627609d72c3b2b2c6c0cfb3a120e42f0504ef45d158d674ea,-1
3b694528538878d378fd6892a649fa634f0013ef299331e6c12b078cfe85d3b2,20
3c92e7482c97c7cdf37d030ec26c81cf176d8d1dadbe6829fc82be10147f5ce1,-1
3c9b8266bf3bcda86dede9e8985436b9b403882d456d7936f9202f00dcbc1104,-1
3cb320dabc7ae4c514fcb418dcae9869a7d5d1802a473e4c3d21bbd69e93c44a,10
3d4a16ecd5bd5ece32bff5b3ab7d80e2179ee146020a5737c74f5d8cb8f6df9b,-1
3d5e20a9637eb9302ce500f3a1180739fa9574cb626600beedfb5cec2883b49a,-1
3dad6decd7ed9081f8cff6a191375cea4393046c2687167ec8696d99d93d828f,26
3dcd17e2bf20e2b4c4fd6d46b0b8bec12dbd0ebe011a9ed4d5987ba217888d2d,46
3e0c517ce31e6237590e5db209636937c83952e8fbbb77e1f0a92e0d2aa93a3e,8
3f600edb563e84569505441b2caced08574d4a2a36cc27a963b2f8e9f885f253,-1
3fc7f43702d7927aa6a468e0453c15b8c67c50207c7c986e1755f32109cc98a1,61
40ba241c5f5da1de68d3c025e68210d8707413a4d7c50ce9396a006802556669,33
42fffc159db734c50a6cc34d5b473cfce18e40e2d8a19b954a07b256c174b118,-1
43f6e6ef6bf2388f14b48e733911dfb69c7993678689847411c2a780b9e3d751,-1
43fb670951b91b2f2a0d7ca84023116e8a20f4726de77ec119256f87a91cd470,-1
447b5bde61e45607272c92a29d3b033d282a8c5bc778e2c87153baacefb125f1,80
44afe322697927031cfba057e2902cde48e259ac53ee532726abf01b10a85156,-1
45943bab01aef31a1c8c60cb8eb9a9385275b491a3dc6d4f2d0572902c54d0e9,216
45c65996a78ce8c60310790c4d7f3c48edd1df15440df4b6186ee49cea554572,23
45e6cc4d78966092660ac95beb3ac9ecf446dbbedde7e1caa9c3c5a33f2621aa,16
46ebf7ab269ab18d204e5f9738bcc304c6dbfad29a27ffd2c87905237d1201f4,-1
47ae15c373da005ad5d1280e13163dca5725ed4a04b32374991d14004b9eab78,54
48b55c8a98a07576b6de955ccc33c95ba4f4a6da8fb49752501d6f05fae125b0,50
49a918dc51d8d4063061e5b0d257943aa194370ae1f07a1c1fc746f7ed7dd3b3,13
49c1f2c88b0e2071b7333cea1038b80f7059919e25d84f1e28e7074e49dca86e,33
4a10af24fbc0983c63537d0875f5666f9d6f4cb7c41570745354abc974faca53,80
4a7994e3b834191343fb65dbdcc5da89cbdde88f5deb85e953e5ed07199c4ef5,33
4c524bd78ea05989aaaabdcad0cae87d48f4ad9eaf18a4e4979d4f0f78465c55,-1
4cfc2aedffbe77e3e1e6bc0bbd0b043a4a449c7e6223533bfa37e76908f54aa6,9
4d36cd34b2a0e6d68d42445b56373a6972e44587bbd208737cc7bd1a88fcf50f,80
4ebbf80c15a14ea35ed19f9799ab3682d0bf4aa2e33d8590929342402486749f,33
4f28c52f4c6a67348c1f2dcf8fa2666da4a3a7471153da6078f514b4cdc475cb,50
4f7208b30f52f86523681dc27f09dcb6f7747b756c794a97803cca8beb2ab839,-1
4f794c5d606db33149727e8f40d1fc2376d5dc5acd21d2d3c2debfaae9a89db7,-1
4fd2a9ff572b263b98f505e6ac17cbaf00e1c0ac5f5ccd10e62f0127f7e89065,97
51659ac58f209b22a2ab67566d1a02b4ef1d916f14ca536f889def0587c5f64a,33
51739466841ff60aaf1280f64c40f9ffdb10b0558297e731f869a2641fb2c2a9,63
51e85e1d0ceadbe79fb82ad9b494fc56053662a444a8a29f1c773f2288d958f2,10
5243981762fe6ab302e111b141981d97a4c25e05c918c34172f2aa9fb4be30bf,-1
525f39c89244d18d060245336a883f8429b79f0e816177245ef6365e90b18c7b,141
533baee9e3480b03672a6696ad87954ddd2f6f8734d12ca9f6f3f0b20e206bab,77
539170bd1ec826cc4f3d144667b25c65dfacc66cb197252087f393dc6698769a,14
53eae689203c3b4251f28ebe2d82c3d4255e90733317254f2ebf7d4d7870e138,-1
54461fd942daa934ae1372def6c5c8b3d10556f7ec8b5df180e01a6f58fd9c27,9
5468cd3bd8482633be5a3dd547b51124836fd11ff1986766fc9e503bff653e9e,45
55c35f4d35a9938de2e3487d0ff4fe99492aef7b326cc33642d5a3c179783146,-1
56aabd5334c3113d320c5042626f792e67d82cf084d94298742960a2076856ec,36
57d187fb0565b0c776f0436fbd774acc92bca85c17dc6169a3164bc498221b52,-1
57d715db00c268e7b824d10e26a51334a9452bfc6239e0f5d3aa333420fddde6,-1
58410bbae3f132b4befdd0baf673a34267546489087ae18ce09b64fdfeaf67e0,35
586fd8bf0779012ac7c4b8681341b640e538deeaaf5529b2363862253b528703,404
5942368bc0ebda4372d6cc52186a78c6886ee26489c2724f78ae389477639832,-1
596733d3c7172c621cdd97986a883cd97edff9464fff17f963a61b057e74370f,66
59b0eebeb6302c722851d7c764690cfd8764e64ade2aae9de7e125c34f5f8187,-1
5a3db14fbc2f2637f49abf268ae787cd1dda00c10d1c403724d753a93fee0f84,-1
5a95408cd01f259c40f497a1d3b3f98a05aa045cf489f7693f4d0f04340b2371,-1
5b5cd8889fdb54fa8d88315e781b8bb0cd3c79a9fc1aff1ddd21c8fcc1a48f81,-1
5b9eb0a5edf53eb693b8b2973a7342fbd8f702193fabeed63cb57494ee8dc94b,88
5bb6c53b732c87fb8912f0b327acf92fef4cb4c85754cb39e10953e7fa847120,-1
5bb7e25b160e47e5c2ec0c4afa58029a3a71dc799041a2ab61ba9f47aa9abc4a,68
5c6073f8815313555655ce5f6ba3663565c7acbd615ba4607073152423f289ec,14
5c6f6b7edce1592cda94845130f30623c155fdcea9c676add368916eaf4108fe,-1
5cbbd9319d25d3aa6e7d21f781d457a346cffc85f558753b0fc74416eefb35c6,-1
5e95022136365eb1da5ea73518fdff719cd69941cd622f36b62ffe9b1e1dad68,-1
5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb,-1
5f4dccfef0740c36b51c94a0bceee202096b4553965579122170b332e3726c08,62
5f964c7120fcfc160f46d61ec00d6ceb96476773224ab45a85a6340b1b55b1ff,-1
6066c33870d863dba9e4ff834e1a3f0d79be983a146c0baa09399603ae5315a4,27
60b8ac462544709005df52aa085f15baad4cbba799e64dcd6c763eed05a5fb2d,23
61037665de19446e5f458708ed9ead5d517a61d28fee72b93be3c8c8a5083a99,-1
623afb7d31a481dcee9715a8004c05b819488ea9f6a59e47fd8a1445a99f5a43,-1
6533a7ae212dc570aaf46b5a5f5ceb04bc797a06437d85f5198ff27d7ce815ba,97
65a6d1082bfe7c2136d2fa9d42a4974f075398e3d927751c7aa9e23dd74151a9,65
66daee00d094ebb5805f605d75ecf079681352a6bbecd3b4ccb2105ee09d4416,-1
66f03d133fbb627fc63a923b7c7fb48e057b362530617066bd97171824719027,-1
671862da7b7345ad6019817cd796a866fa1f09a5c809873cb33e63436474041f,23
67e6dd6b56e650f3a3d3dcf36fe15a179fedc2f9a587afadd4bfbc4b3d0a92ad,101
687a97db58e89e1e2c73f2270a463deb4f4dc5fef16171ae9475eeb3fe899e4a,-1
68a69753b93b4d9e3a20e0a444ed570fb6c7d1dacf0a3670b5f159dbb78c0bef,-1
68badca0e891be42cf6759262c8cf4ae3792dd4563e067fb066c0ba4dd49c08d,-1
68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a,47
68ec0d6931690d0b12c31b0354298ffa6a33b83ae886a8a10a89fbb69ceb8125,100
69584001774ee43f8bc3e6df5517c2b8eb3109bcb6db5e1e5103e9ff594f2c22,-1
